"","YEAR","median_TEMP","median_PCO2_TEQ","diversity_index"
"1",1991,22.18,336.3,2.69756387752174
"2",1992,19.17,339.66,2.90823779822033
"3",1993,17.53,334.685,2.72568197964476
"4",1994,16.89,324.3,2.70295520558223
"5",1995,17.785,322.705,2.84129594435529
"6",1996,14.81,325.8,2.63173629957946
"7",1997,4.12,337.02,2.86350618270852
"8",1998,8.497,347.8,2.82026560370825
"9",1999,7.617,348.3,2.75246442606216
"10",2000,7.002,367.15,2.83950121666503
"11",2001,7.562,366,2.97055830732012
"12",2002,18.46,339.855,2.93135292674768
"13",2003,16.27,353.84,2.68373255678602
"14",2004,14.2,351.66,2.73885695669465
"15",2005,8.23,363.71,2.9044641876446
"16",2006,10.85,363.13,2.94283961069902
"17",2007,12.94,374.055,2.75424415561054
"18",2008,19.92,360.08,3.07883977696517
"19",2009,16.6,349.69,3.05379889902789
"20",2010,17.21,374.325,2.91486163632409
"21",2011,16.15,380.77,3.02991435976617
"22",2012,15.36,367.43,3.27682853551824
"23",2013,15.97,376.28,2.78713124573898
"24",2014,11.61,360.88,3.19858801889118
"25",2015,16.28,372.78,3.32493464260326
"26",2016,16.76,394.11,3.17279922073109
"27",2017,10.01,358.8,2.81757415203086
"28",2018,17.71,405.43,2.71357753976256
