"","Year","diversity_index"
"1",1991,2.71253502055819
"2",1992,2.92153305763592
"3",1993,2.7362481853949
"4",1994,2.71382926270776
"5",1995,2.85158042058822
"6",1996,2.6423921192972
"7",1997,2.87207383112671
"8",1998,2.8333552918075
"9",1999,2.76473023643059
"10",2000,2.85567334681226
"11",2001,2.98851365092584
"12",2002,2.94347211323089
"13",2003,2.69315472752706
"14",2004,2.74790095092348
"15",2005,2.91764028558507
"16",2006,2.95981982345782
"17",2007,2.77636562627751
"18",2008,3.09512665901747
"19",2009,3.07143025164144
"20",2010,2.92810707549148
"21",2011,3.04275623048437
"22",2012,3.29617620142101
"23",2013,2.79697216528091
"24",2014,3.21327293668366
"25",2015,3.34313504086955
"26",2016,3.19276730987928
"27",2017,2.83274882086907
"28",2018,2.72622868782373
